,Image_File,Label
1,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_238.jpg,0
2,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_192.png,0
3,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_130.jpg,0
5,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_231.jpg,0
6,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_207.jpg,0
7,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_217.jpg,0
8,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_44.jpg,0
9,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_282.jpg,0
11,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_162.png,0
12,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_91.jpg,0
14,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_331.jpg,0
15,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_158.jpg,0
16,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_74.png,0
17,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_129.jpg,0
18,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_268.jpg,0
19,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_138.png,0
21,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_353.jpg,0
22,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_178.jpg,0
23,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_28.jpg,0
24,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_6.jpg,0
25,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_284.png,0
26,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_17.jpg,0
27,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_264.jpg,0
28,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_72.jpg,0
30,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_213.jpg,0
31,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_385.jpg,0
33,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_242.jpg,0
34,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_173.jpg,0
35,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_163.png,0
36,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_62.jpg,0
37,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_222.jpg,0
38,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_338.jpeg,0
39,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_136.jpg,0
40,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_175.jpg,0
41,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_112.jpg,0
44,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_3.jpg,0
45,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_273.jpg,0
46,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_236.jpg,0
48,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_42.jpg,0
49,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_71.jpg,0
50,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_88.jpg,0
51,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_346.jpg,0
52,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_364.jpg,0
54,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_283.jpg,0
55,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_328.jpg,0
57,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_18.jpg,0
58,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_215.jpg,0
60,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_306.jpg,0
61,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_188.jpg,0
62,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_357.jpg,0
63,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_318.jpg,0
64,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_349.jpg,0
65,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_339.jpg,0
66,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_218.jpg,0
67,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_98.jpg,0
68,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_126.jpg,0
69,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_219.jpg,0
70,/home/nan/sneaker_ai/screened_data/air_jordan_1/air_jordan_1_369.,0
